Object ID,Name,Centroid X µm,Centroid Y µm,Cell: CD15 (Opal 620) mean,Cell: H3Cit (Opal 690) mean,Cell: DAPI (DAPI) mean,Cell: CK (Alexa 488) mean,Cell: CD8 (Cy3) mean,Cell: MPO (Cy5) mean
78977937-988c-485f-906e-73d1be6c6917,PathCellObject,749.29,150.49,0.0207,0.0088,0.4154,0.0073,0.1298,0.0231
d9f0aab5-be0a-4f62-81a4-5e73f42f1049,PathCellObject,884.76,150.14,0.0228,0.0172,0.1315,0,0.1358,0.0589
db6685d8-382f-427a-a347-91f61e2d9f8d,PathCellObject,929.01,149.76,0.1765,0.0941,0.1059,0.0343,0.2355,0.253
d9e897e8-2e9d-488d-88fa-263ce1b7f466,PathCellObject,773.3,150.6,0.0178,0.0071,0.1905,0.004,0.1058,0.0185
a694f878-9adb-4575-9ff0-28ac24ef7b44,PathCellObject,795.48,151.93,0.0207,0.0099,0.382,0.0195,0.1488,0.0231
7b754df0-9422-4187-910f-7a086b48fa77,PathCellObject,861.06,151.48,0.1995,0.0804,0.5633,0,0.1974,0.2723
7f5306a8-a233-4c9c-9f8a-aa593f3b2539,PathCellObject,714.55,151.79,0.0194,0.0076,0.3271,0.0025,0.1364,0.0148
16ae4c2a-99a4-4887-8649-2b7f297601b2,PathCellObject,728.83,151.93,0.1356,0.1238,0.5371,0.0015,0.2294,0.3311
ef6649cd-9eae-41d3-bd55-3f8033ef6561,PathCellObject,738.01,151.59,0.0862,0.0398,0.4114,0.009,0.199,0.1339
b2b4c9cd-0ab3-4db7-b8de-f001ce9b2eee,PathCellObject,784.58,152.29,0.0248,0.0108,0.4881,0.0169,0.1838,0.0247
9126b591-8efb-45a3-90ee-c4a28b04573a,PathCellObject,826.36,153.61,0.0406,0.0119,0.3613,0.0383,0.1432,0.0344
706b7205-05f0-4f9d-a9b1-ab17101d8d00,PathCellObject,921.49,152.7,0.0792,0.0652,0.0779,0.0019,0.15,0.1707
8d473740-3517-4b2a-bbd3-8cabb304e711,PathCellObject,989.43,153.74,0.0746,0.0183,0.59,0.0001,0.2814,0.0533
2100cdcf-e044-45bd-b31a-694ac86e7ecc,PathCellObject,953.18,153.31,0.1701,0.2573,0.47,0,0.2564,0.531
4709f387-07f6-4091-ae42-f999b0896628,PathCellObject,980.77,154.27,0.1673,0.0657,0.4638,0,0.2038,0.1904
aeb4f756-10be-4218-8762-5b4b0da7d5e5,PathCellObject,742.73,157.23,0.0453,0.0259,0.3703,0.0026,0.1445,0.073
e54fe1d8-658b-4215-961c-49d1746f0abf,PathCellObject,776.67,156.44,0.028,0.0113,0.3809,0.0077,0.1744,0.033
f4d7849a-b8aa-45c5-aa68-5d3acac96703,PathCellObject,972.25,156.25,0.208,0.086,0.4343,0.0006,0.2074,0.2838
827eeaef-1905-4080-8a8f-2ac81cc26f8e,PathCellObject,928.6,157.94,0.114,0.0747,0.3675,0.0123,0.2385,0.2416
026f3708-a85d-447f-8ea2-734a363062f8,PathCellObject,850.6,159.89,0.0303,0.0236,0.3573,0,0.1587,0.0779
29f6a393-e2a4-4ec8-bcda-70baa8b65138,PathCellObject,868.36,158.95,0.071,0.0182,0.6612,0,0.2514,0.0556
f25522e1-f140-4ed1-9344-bd771dc08719,PathCellObject,986.87,159.36,0.1986,0.063,0.8241,0,0.2625,0.2092
